no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,full_date
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
2,0,2,5,Meal Plan 1,0,Room_Type 1,118,2018,7,1,Online,0,0,0,107.95,1,01.07.2018
2,0,2,5,Meal Plan 1,0,Room_Type 1,118,2018,7,1,Online,0,0,0,107.95,1,01.07.2018
3,0,2,5,Meal Plan 1,0,Room_Type 4,127,2018,7,1,Online,0,0,0,127.62,0,01.07.2018
2,2,2,4,Meal Plan 1,0,Room_Type 6,128,2018,7,1,Online,0,0,0,163.2,2,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,132,2018,7,1,Offline,0,0,0,72.25,0,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,132,2018,7,1,Offline,0,0,0,72.25,0,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,132,2018,7,1,Offline,0,0,0,72.25,0,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,132,2018,7,1,Offline,0,0,0,72.25,0,01.07.2018
2,0,0,2,Meal Plan 1,0,Room_Type 1,140,2018,7,1,Online,0,0,0,96.3,0,01.07.2018
2,0,0,2,Meal Plan 1,0,Room_Type 1,141,2018,7,1,Online,0,0,0,96.3,1,01.07.2018
2,0,0,2,Meal Plan 1,0,Room_Type 1,141,2018,7,1,Online,0,0,0,96.3,1,01.07.2018
3,0,0,2,Meal Plan 1,0,Room_Type 4,142,2018,7,1,Online,0,0,0,128.7,1,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,142,2018,7,1,Online,0,0,0,85.5,1,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,142,2018,7,1,Online,0,0,0,85.5,1,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,142,2018,7,1,Online,0,0,0,85.5,0,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,142,2018,7,1,Online,0,0,0,85.5,0,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,142,2018,7,1,Online,0,0,0,85.5,0,01.07.2018
2,0,0,2,Not Selected,0,Room_Type 1,142,2018,7,1,Online,0,0,0,85.5,1,01.07.2018
2,0,1,2,Meal Plan 1,0,Room_Type 1,144,2018,7,1,Offline,0,0,0,75.0,0,01.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 1,145,2018,7,1,Offline,0,0,0,72.76,0,01.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 4,147,2018,7,1,Online,0,0,0,103.7,2,01.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 4,147,2018,7,1,Online,0,0,0,103.7,2,01.07.2018
2,0,3,7,Meal Plan 2,0,Room_Type 1,148,2018,7,1,Offline,0,0,0,102.25,0,01.07.2018
2,1,2,6,Meal Plan 1,0,Room_Type 1,148,2018,7,1,Online,0,0,0,113.69,3,01.07.2018
2,0,2,6,Meal Plan 1,0,Room_Type 1,148,2018,7,1,Online,0,0,0,98.39,2,01.07.2018
2,2,2,7,Meal Plan 1,0,Room_Type 6,151,2018,7,1,Online,0,0,0,167.45,2,01.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,152,2018,7,1,Online,0,0,0,80.75,1,01.07.2018
2,0,2,2,Meal Plan 1,1,Room_Type 1,153,2018,7,1,Online,0,0,0,93.2,1,01.07.2018
1,0,1,2,Meal Plan 1,0,Room_Type 1,154,2018,7,1,Online,0,0,0,75.0,0,01.07.2018
2,1,1,2,Meal Plan 1,0,Room_Type 1,154,2018,7,1,Online,0,0,0,112.5,2,01.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,0,2018,7,2,Online,0,0,0,151.0,1,02.07.2018
2,0,1,1,Meal Plan 1,0,Room_Type 4,1,2018,7,2,Online,0,0,0,166.0,0,02.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 2,3,2018,7,2,Complementary,1,0,3,0.0,2,02.07.2018
2,1,0,1,Meal Plan 1,0,Room_Type 2,3,2018,7,2,Complementary,1,0,3,0.0,1,02.07.2018
2,0,1,1,Not Selected,0,Room_Type 1,6,2018,7,2,Online,0,0,0,132.0,0,02.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 4,6,2018,7,2,Online,0,0,0,180.0,2,02.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,7,2,Online,0,0,0,151.0,1,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2018,7,2,Online,0,0,0,151.0,1,02.07.2018
2,0,2,3,Meal Plan 1,0,Room_Type 1,14,2018,7,2,Online,0,0,0,151.0,2,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,15,2018,7,2,Online,0,0,0,151.0,1,02.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,19,2018,7,2,Online,0,0,0,139.0,1,02.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 1,24,2018,7,2,Online,0,0,0,118.15,1,02.07.2018
3,0,1,1,Meal Plan 1,0,Room_Type 4,25,2018,7,2,Online,0,0,0,187.0,0,02.07.2018
3,0,2,1,Meal Plan 1,0,Room_Type 4,26,2018,7,2,Online,0,0,0,187.0,0,02.07.2018
2,0,1,1,Meal Plan 1,0,Room_Type 1,26,2018,7,2,Online,0,0,0,151.0,1,02.07.2018
2,0,2,3,Not Selected,0,Room_Type 1,28,2018,7,2,Online,0,0,0,130.66,1,02.07.2018
2,0,2,3,Not Selected,0,Room_Type 1,28,2018,7,2,Online,0,0,0,130.66,1,02.07.2018
2,1,2,1,Meal Plan 1,0,Room_Type 1,36,2018,7,2,Online,0,0,0,152.1,2,02.07.2018
2,1,2,2,Meal Plan 1,0,Room_Type 1,37,2018,7,2,Online,0,0,0,146.7,1,02.07.2018
2,0,0,1,Not Selected,0,Room_Type 1,38,2018,7,2,Online,0,0,0,107.1,1,02.07.2018
1,0,1,1,Not Selected,0,Room_Type 1,38,2018,7,2,Online,0,0,0,107.1,0,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,39,2018,7,2,Online,0,0,0,117.9,0,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,39,2018,7,2,Online,0,0,0,117.9,0,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,39,2018,7,2,Online,0,0,0,117.9,0,02.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 4,41,2018,7,2,Online,0,0,0,150.3,1,02.07.2018
2,1,2,1,Not Selected,0,Room_Type 1,45,2018,7,2,Online,0,0,0,124.6,1,02.07.2018
3,0,1,1,Meal Plan 1,0,Room_Type 4,47,2018,7,2,Online,0,0,0,150.3,2,02.07.2018
3,0,1,1,Meal Plan 1,0,Room_Type 4,47,2018,7,2,Online,0,0,0,150.3,1,02.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 4,47,2018,7,2,Online,0,0,0,114.48,2,02.07.2018
3,0,2,3,Meal Plan 1,0,Room_Type 4,48,2018,7,2,Online,0,0,0,157.5,0,02.07.2018
2,0,2,5,Meal Plan 1,0,Room_Type 1,54,2018,7,2,Online,0,0,0,119.7,0,02.07.2018
2,0,0,1,Not Selected,0,Room_Type 1,54,2018,7,2,Online,0,0,0,107.1,1,02.07.2018
2,1,2,5,Meal Plan 1,0,Room_Type 1,54,2018,7,2,Online,0,0,0,146.7,0,02.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 4,62,2018,7,2,Online,0,0,0,150.3,2,02.07.2018
3,0,0,1,Meal Plan 1,0,Room_Type 4,69,2018,7,2,Online,0,0,0,150.3,0,02.07.2018
3,0,4,10,Meal Plan 1,0,Room_Type 4,73,2018,7,2,Online,0,0,0,145.93,0,02.07.2018
3,0,1,1,Meal Plan 1,0,Room_Type 4,75,2018,7,2,Online,0,0,0,150.3,2,02.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 4,76,2018,7,2,Online,0,0,0,131.4,0,02.07.2018
2,0,0,1,Meal Plan 1,0,Room_Type 4,76,2018,7,2,Online,0,0,0,131.4,0,02.07.2018
3,0,0,1,Meal Plan 1,0,Room_Type 7,82,2018,7,2,Online,0,0,0,185.03,2,02.07.2018
2,0,1,1,Meal Plan 1,0,Room_Type 1,85,2018,7,2,Online,0,0,0,114.3,2,02.07.2018
2,0,2,4,Meal Plan 1,0,Room_Type 1,93,2018,7,2,Corporate,0,0,0,84.0,0,02.07.2018
2,1,2,5,Meal Plan 1,0,Room_Type 1,98,2018,7,2,Online,0,0,0,130.5,2,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,104,2018,7,2,Online,0,0,0,88.01,1,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,104,2018,7,2,Online,0,0,0,88.01,2,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,104,2018,7,2,Online,0,0,0,88.01,2,02.07.2018
1,0,2,2,Meal Plan 1,0,Room_Type 4,105,2018,7,2,Online,0,0,0,138.55,0,02.07.2018
3,0,0,1,Meal Plan 1,0,Room_Type 4,111,2018,7,2,Online,0,0,0,146.7,0,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,123,2018,7,2,Online,0,0,0,97.33,0,02.07.2018
2,0,2,4,Not Selected,0,Room_Type 1,125,2018,7,2,Online,0,0,0,90.67,2,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,128,2018,7,2,Online,0,0,0,96.3,1,02.07.2018
2,1,2,1,Meal Plan 1,1,Room_Type 4,131,2018,7,2,Online,0,0,0,121.5,1,02.07.2018
2,1,2,5,Meal Plan 1,0,Room_Type 1,132,2018,7,2,Online,0,0,0,114.75,2,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,134,2018,7,2,Online,0,0,0,93.08,2,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,136,2018,7,2,Online,0,0,0,93.08,0,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,136,2018,7,2,Online,0,0,0,93.08,0,02.07.2018
2,2,1,1,Meal Plan 1,0,Room_Type 2,137,2018,7,2,Online,0,0,0,88.77,1,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,138,2018,7,2,Online,0,0,0,71.67,1,02.07.2018
2,0,0,1,Not Selected,0,Room_Type 1,139,2018,7,2,Online,0,0,0,85.5,0,02.07.2018
2,0,0,1,Not Selected,0,Room_Type 1,139,2018,7,2,Online,0,0,0,85.5,0,02.07.2018
2,0,0,1,Not Selected,0,Room_Type 1,139,2018,7,2,Online,0,0,0,85.5,0,02.07.2018
2,2,1,1,Meal Plan 1,0,Room_Type 2,140,2018,7,2,Online,0,0,0,88.77,1,02.07.2018
3,0,1,1,Meal Plan 1,0,Room_Type 4,140,2018,7,2,Online,0,0,0,128.7,3,02.07.2018
3,0,2,3,Meal Plan 1,0,Room_Type 4,142,2018,7,2,Online,0,0,0,126.65,1,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,143,2018,7,2,Offline,0,0,0,112.0,1,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,143,2018,7,2,Offline,0,0,0,112.0,1,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,156,2018,7,2,Online,0,0,0,96.3,2,02.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,156,2018,7,2,Online,0,0,0,93.08,1,02.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,158,2018,7,2,Online,0,0,0,82.88,1,02.07.2018
3,0,2,4,Meal Plan 1,0,Room_Type 1,160,2018,7,2,Online,0,0,0,125.8,0,02.07.2018
2,0,2,5,Not Selected,0,Room_Type 1,168,2018,7,2,Online,0,0,0,62.18,1,02.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,179,2018,7,2,Online,0,0,0,96.3,2,02.07.2018
2,0,2,4,Meal Plan 1,0,Room_Type 1,209,2018,7,2,Online,0,0,0,66.53,1,02.07.2018
2,0,2,4,Meal Plan 1,0,Room_Type 4,209,2018,7,2,Online,0,0,0,72.75,1,02.07.2018
2,2,2,2,Meal Plan 1,0,Room_Type 6,221,2018,7,2,Online,0,0,0,187.0,0,02.07.2018
2,0,1,1,Meal Plan 1,0,Room_Type 1,232,2018,7,2,Online,0,0,0,131.4,1,02.07.2018
1,0,1,0,Not Selected,0,Room_Type 1,0,2018,7,3,Online,0,0,0,92.86,0,03.07.2018
1,0,2,3,Meal Plan 1,0,Room_Type 1,1,2018,7,3,Online,0,0,0,145.0,1,03.07.2018
1,0,2,0,Meal Plan 1,1,Room_Type 1,2,2018,7,3,Corporate,1,0,5,67.0,0,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,5,2018,7,3,Online,0,0,0,142.33,1,03.07.2018
1,0,2,2,Meal Plan 1,0,Room_Type 4,6,2018,7,3,Online,0,0,0,156.5,1,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 4,10,2018,7,3,Online,0,0,0,166.0,1,03.07.2018
2,2,2,0,Meal Plan 1,0,Room_Type 5,10,2018,7,3,Complementary,0,0,0,35.0,3,03.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,14,2018,7,3,Online,0,0,0,151.0,1,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 4,14,2018,7,3,Online,0,0,0,187.0,0,03.07.2018
2,0,1,0,Meal Plan 1,0,Room_Type 1,18,2018,7,3,Online,0,0,0,151.0,1,03.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 4,19,2018,7,3,Online,0,0,0,187.0,2,03.07.2018
2,0,2,3,Meal Plan 1,0,Room_Type 1,26,2018,7,3,Offline,0,0,0,85.0,0,03.07.2018
1,0,2,2,Not Selected,0,Room_Type 1,28,2018,7,3,Online,0,0,0,132.05,0,03.07.2018
2,0,2,0,Not Selected,0,Room_Type 1,32,2018,7,3,Online,0,0,0,112.59,0,03.07.2018
2,1,2,2,Meal Plan 1,0,Room_Type 1,32,2018,7,3,Online,0,0,0,152.1,0,03.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,32,2018,7,3,Online,0,0,0,135.9,1,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,39,2018,7,3,Online,0,0,0,117.9,0,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,41,2018,7,3,Offline,0,0,0,76.5,0,03.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 4,43,2018,7,3,Online,0,0,0,150.3,2,03.07.2018
2,0,2,1,Not Selected,0,Room_Type 1,43,2018,7,3,Online,0,0,0,107.1,1,03.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,43,2018,7,3,Online,0,0,0,127.1,3,03.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,47,2018,7,3,Online,0,0,0,107.1,1,03.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,47,2018,7,3,Online,0,0,0,107.1,1,03.07.2018
2,2,2,2,Meal Plan 1,0,Room_Type 1,51,2018,7,3,Online,0,0,0,150.3,3,03.07.2018
2,0,2,1,Not Selected,0,Room_Type 1,53,2018,7,3,Online,0,0,0,107.1,1,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,54,2018,7,3,Offline,0,0,0,85.5,0,03.07.2018
3,0,1,0,Meal Plan 1,1,Room_Type 4,54,2018,7,3,Online,0,0,0,159.3,2,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,54,2018,7,3,Online,0,0,0,117.9,0,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,54,2018,7,3,Offline,0,0,0,85.5,0,03.07.2018
2,0,2,1,Meal Plan 2,0,Room_Type 1,56,2018,7,3,Online,0,0,0,162.9,0,03.07.2018
2,0,2,3,Meal Plan 1,0,Room_Type 1,56,2018,7,3,Online,0,0,0,119.7,2,03.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,59,2018,7,3,Online,0,0,0,78.35,1,03.07.2018
3,0,2,4,Meal Plan 1,0,Room_Type 4,70,2018,7,3,Online,0,0,0,150.3,0,03.07.2018
3,0,3,5,Meal Plan 1,0,Room_Type 4,77,2018,7,3,Online,0,0,0,149.4,2,03.07.2018
3,0,4,8,Meal Plan 1,0,Room_Type 4,79,2018,7,3,Online,0,0,0,138.56,1,03.07.2018
1,0,2,3,Not Selected,0,Room_Type 1,81,2018,7,3,Online,0,0,0,103.5,0,03.07.2018
1,0,2,3,Meal Plan 1,0,Room_Type 1,81,2018,7,3,Online,0,0,0,108.9,1,03.07.2018
2,0,2,1,Not Selected,0,Room_Type 1,81,2018,7,3,Online,0,0,0,103.5,1,03.07.2018
1,0,2,3,Meal Plan 1,0,Room_Type 1,81,2018,7,3,Online,0,0,0,108.9,1,03.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 1,82,2018,7,3,Online,0,0,0,112.96,1,03.07.2018
1,0,2,3,Meal Plan 1,0,Room_Type 1,85,2018,7,3,Online,0,0,0,108.9,0,03.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,91,2018,7,3,Online,0,0,0,103.5,0,03.07.2018
2,0,2,5,Meal Plan 1,0,Room_Type 4,91,2018,7,3,Online,0,0,0,127.8,0,03.07.2018
3,0,2,5,Meal Plan 1,0,Room_Type 4,91,2018,7,3,Online,0,0,0,146.7,0,03.07.2018
1,0,2,5,Meal Plan 1,0,Room_Type 1,93,2018,7,3,Online,0,0,0,108.9,0,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,98,2018,7,3,Online,0,0,0,114.3,2,03.07.2018
2,2,2,1,Meal Plan 1,0,Room_Type 6,99,2018,7,3,Online,0,0,0,186.3,2,03.07.2018
3,0,2,2,Meal Plan 1,0,Room_Type 4,99,2018,7,3,Online,0,0,0,146.7,0,03.07.2018
2,0,2,0,Meal Plan 1,0,Room_Type 1,100,2018,7,3,Online,0,0,0,114.3,0,03.07.2018
2,1,2,2,Meal Plan 1,0,Room_Type 1,100,2018,7,3,Online,0,0,0,130.5,0,03.07.2018
3,0,2,0,Meal Plan 1,0,Room_Type 4,100,2018,7,3,Online,0,0,0,146.7,2,03.07.2018
1,0,2,5,Not Selected,0,Room_Type 1,101,2018,7,3,Online,0,0,0,103.5,0,03.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,104,2018,7,3,Online,0,0,0,114.3,1,03.07.2018
2,0,2,1,Meal Plan 1,0,Room_Type 1,109,2018,7,3,Online,0,0,0,114.3,0,03.07.2018
2,0,2,2,Meal Plan 2,0,Room_Type 4,110,2018,7,3,Offline,0,0,0,118.06,0,03.07.2018
2,0,2,2,Meal Plan 1,0,Room_Type 1,121,2018,7,3,Online,0,0,0,107.95,0,03.07.2018
1,0,2,0,Meal Plan 1,0,Room_Type 1,124,2018,7,3,Online,0,0,0,90.9,1,03.07.2018
2,0,2,2,Not Selected,0,Room_Type 1,125,2018,7,3,Online,0,0,0,87.13,0,03.07.2018
3,0,2,4,Meal Plan 1,0,Room_Type 1,126,2018,7,3,Online,0,0,0,131.47,0,03.07.2018
2,1,2,0,Meal Plan 1,1,Room_Type 1,131,2018,7,3,Online,0,0,0,121.5,2,03.07.2018
1,0,2,0,Meal Plan 2,0,Room_Type 1,132,2018,7,3,Online,0,0,0,90.9,1,03.07.2018
